link_id,prcn_dt,tfvl,sped,ocpy_rate,trvl_hh,snapshot_stat_dt,snapshot_saved_at
4060006500,20260915232500,0,57,0,44,2026091523,2026-09-15 23:29:26
4050013300,20260915232500,0,34,0,23,2026091523,2026-09-15 23:29:26
4050007901,20260915232500,0,31,0,21,2026091523,2026-09-15 23:29:26
4060005400,20260915232500,0,49,0,66,2026091523,2026-09-15 23:29:26
4050041100,20260915232500,0,41,0,138,2026091523,2026-09-15 23:29:26
4050194300,20260915232500,0,27,0,50,2026091523,2026-09-15 23:29:26
4050006808,20260915232500,0,45,0,22,2026091523,2026-09-15 23:29:26
4050012200,20260915232500,0,8,0,20,2026091523,2026-09-15 23:29:26
4050115200,20260915232500,0,18,0,13,2026091523,2026-09-15 23:29:26
4060004300,20260915232500,0,29,0,14,2026091523,2026-09-15 23:29:26
4050040000,20260915232500,0,72,0,37,2026091523,2026-09-15 23:29:26
4050062400,20260915232500,0,46,0,17,2026091523,2026-09-15 23:29:26
4050084800,20260915232500,0,37,0,12,2026091523,2026-09-15 23:29:26
4050187800,20260915232500,0,39,0,23,2026091523,2026-09-15 23:29:26
4050089000,20260915232500,0,6,0,136,2026091523,2026-09-15 23:29:26
4050011100,20260915232500,0,19,0,16,2026091523,2026-09-15 23:29:26
4060003200,20260915232500,0,27,0,16,2026091523,2026-09-15 23:29:26
4060134000,20260915232500,0,45,0,20,2026091523,2026-09-15 23:29:26
4060053400,20260915232500,0,39,0,9,2026091523,2026-09-15 23:29:26
4050010000,20260915232500,0,46,0,9,2026091523,2026-09-15 23:29:26
4050004600,20260915232500,0,42,0,36,2026091523,2026-09-15 23:29:26
4050107600,20260915232500,0,38,0,3,2026091523,2026-09-15 23:29:26
4060002100,20260915232500,0,28,0,82,2026091523,2026-09-15 23:29:26
4050135400,20260915232500,0,38,0,10,2026091523,2026-09-15 23:29:26
4050163200,20260915232500,0,38,0,4,2026091523,2026-09-15 23:29:26
4060046900,20260915232500,0,44,0,8,2026091523,2026-09-15 23:29:26
4050185600,20260915232500,0,42,0,18,2026091523,2026-09-15 23:29:26
4060001001,20260915232500,0,47,0,16,2026091523,2026-09-15 23:29:26
4050031300,20260915232500,0,16,0,40,2026091523,2026-09-15 23:29:26
